"HIOKI E.E. CORPORATION","IM3570","Ver. 3.06"

"DATE","23-01-28"
"TIME","18:24:00"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.2000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","SLOW"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"494","78.658E+03","21.40470E+03","-89.474"
"495","79.729E+03","21.12026E+03","-89.474"
"496","80.814E+03","20.83544E+03","-89.481"
"497","81.915E+03","20.56245E+03","-89.469"
"498","83.030E+03","20.28470E+03","-89.478"
"499","84.161E+03","20.01347E+03","-89.478"
"500","85.307E+03","19.74401E+03","-89.477"
"501","86.468E+03","19.47991E+03","-89.488"
"502","87.646E+03","19.22362E+03","-89.499"
"503","88.839E+03","18.96162E+03","-89.499"
"504","90.049E+03","18.71164E+03","-89.491"
"505","91.275E+03","18.46316E+03","-89.497"
"506","92.518E+03","18.21304E+03","-89.504"
"507","93.777E+03","17.97536E+03","-89.514"
"508","95.054E+03","17.73193E+03","-89.505"
"509","96.349E+03","17.49325E+03","-89.495"
"510","97.661E+03","17.25806E+03","-89.491"
"511","98.990E+03","17.02971E+03","-89.508"
"512","100.34E+03","16.79883E+03","-89.506"
"513","101.70E+03","16.57941E+03","-89.502"
"514","103.09E+03","16.35336E+03","-89.508"
"515","104.49E+03","16.13432E+03","-89.511"
"516","105.92E+03","15.91679E+03","-89.508"
"517","107.36E+03","15.70570E+03","-89.509"
"518","108.82E+03","15.49396E+03","-89.516"
"519","110.30E+03","15.28845E+03","-89.511"
"520","111.80E+03","15.08361E+03","-89.520"
"521","113.33E+03","14.87919E+03","-89.522"
